core	model	corpus	opcode	mnemonic	addressing_mode	legal_nmos	cases_run	instruction_status	instruction_failed_opcode	instruction_failed_cases	cycle_count_status	cycle_count_failed_opcode	cycle_count_failed_cases	bus_trace_status	bus_trace_failed_opcode	bus_trace_failed_cases
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x5C	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x5D	EOR	absolute,X	yes	10000	passed	0	0	failed	1	5051	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x5E	LSR	absolute,X	yes	10000	failed	1	1	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x5F	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x60	RTS	implied	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x61	ADC	(zero page,X)	yes	10000	failed	1	4367	failed	1	4923	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x62	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x63	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x64	???	illegal	no	10000	failed	1	9965	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x65	ADC	zero page	yes	10000	failed	1	4399	failed	1	5003	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x66	ROR	zero page	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x67	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x68	PLA	implied	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x69	ADC	immediate	yes	10000	failed	1	4335	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x6A	ROR	accumulator	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x6B	???	illegal	no	10000	failed	1	10000	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x6C	JMP	indirect	yes	10000	failed	1	49	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x6D	ADC	absolute	yes	10000	failed	1	4447	failed	1	5077	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x6E	ROR	absolute	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x6F	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x70	BVS	relative	yes	10000	passed	0	0	failed	1	1226	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x71	ADC	(zero page),Y	yes	10000	failed	1	4457	failed	1	5041	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x72	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x73	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x74	???	illegal	no	10000	failed	1	9962	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x75	ADC	zero page,X	yes	10000	failed	1	4497	failed	1	5095	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x76	ROR	zero page,X	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x77	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x78	SEI	implied	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x79	ADC	absolute,Y	yes	10000	failed	1	4449	failed	1	4987	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x7A	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x7B	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x7C	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x7D	ADC	absolute,X	yes	10000	failed	1	4323	failed	1	4953	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x7E	ROR	absolute,X	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x7F	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x80	???	illegal	no	10000	failed	1	9959	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x81	STA	(zero page,X)	yes	10000	failed	1	41	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x82	???	illegal	no	10000	failed	1	10000	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x83	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x84	STY	zero page	yes	10000	passed	0	0	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x85	STA	zero page	yes	10000	passed	0	0	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x86	STX	zero page	yes	10000	passed	0	0	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x87	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x88	DEY	implied	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x89	???	illegal	no	10000	failed	1	8749	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x8A	TXA	implied	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x8B	???	illegal	no	10000	failed	1	10000	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x8C	STY	absolute	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x8D	STA	absolute	yes	10000	failed	1	1	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x8E	STX	absolute	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x8F	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x90	BCC	relative	yes	10000	passed	0	0	failed	1	1240	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x91	STA	(zero page),Y	yes	10000	failed	1	51	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x92	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x93	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x94	STY	zero page,X	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x95	STA	zero page,X	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x96	STX	zero page,Y	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x97	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x98	TYA	implied	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x99	STA	absolute,Y	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x9A	TXS	implied	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x9B	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x9C	???	illegal	no	10000	failed	1	9521	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x9D	STA	absolute,X	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x9E	???	illegal	no	10000	failed	1	9498	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0x9F	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0xA0	LDY	immediate	yes	10000	passed	0	0	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0xA1	LDA	(zero page,X)	yes	10000	failed	1	37	passed	0	0	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0xA2	LDX	immediate	yes	10000	passed	0	0	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0xA3	???	illegal	no	10000	failed	1	10000	failed	1	10000	unsupported	0	0
sflib6502	NMOS	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/6502/v1	0xA4	LDY	zero page	yes	10000	passed	0	0	passed	0	0	unsupported	0	0
